TaskID,ProjectID,TaskName,TaskGroup,PlannedStart,PlannedEnd
TK000395,PJ0042,Contractor Costs,Construction,2024-10-15,2025-05-13
TK000396,PJ0042,GRIP 5 Design,Design,2024-12-22,2025-05-14
TK000397,PJ0042,PCAT Costs,PM,2024-11-18,2024-12-19
TK000398,PJ0042,NDS,Other,2024-10-05,2024-12-25
TK000399,PJ0042,Systems Engineering,Design,2024-09-21,2024-12-07
TK000400,PJ0042,Sleeper Materials,Materials,2024-10-21,2025-03-10
TK000401,PJ0042,Sponsor Costs,PM,2024-12-16,2025-02-26
TK000402,PJ0042,Engineers Costs,Design,2024-10-25,2025-07-07
TK000403,PJ0043,Project Management,PM,2024-10-05,2025-01-05
TK000404,PJ0043,Contingency,Contingency,2025-02-18,2026-04-10
TK000405,PJ0043,Design,Design,2024-09-21,2025-12-07
TK000406,PJ0043,Engineers Costs,Design,2025-01-04,2025-11-20
TK000407,PJ0043,Ballast Materials,Materials,2025-01-03,2025-11-24
TK000408,PJ0043,Rail Materials,Materials,2024-11-24,2026-04-17
TK000409,PJ0043,Possession Management,Possession,2025-02-07,2025-11-12
TK000410,PJ0043,Contractor,Construction,2024-11-09,2026-04-24
TK000411,PJ0044,Project Management,PM,2025-04-06,2025-08-04
TK000412,PJ0044,Contingency,Contingency,2025-01-26,2025-06-29
TK000413,PJ0044,Construction,Construction,2025-03-22,2025-11-10
TK000414,PJ0044,Detailed Design,Design,2024-12-29,2025-02-24
TK000415,PJ0044,Contractor,Construction,2025-01-22,2025-05-08
TK000416,PJ0044,Design,Design,2025-04-02,2025-08-14
TK000417,PJ0044,Rail Materials,Materials,2025-02-22,2025-07-10
TK000418,PJ0044,Engineers Costs,Design,2025-01-31,2025-03-04
TK000419,PJ0044,Possession Management,Possession,2025-01-13,2025-08-13
TK000420,PJ0044,PCAT Costs,PM,2024-12-17,2025-07-22
TK000421,PJ0044,Other Materials,Materials,2025-04-01,2025-11-21
TK000422,PJ0044,NDS,Other,2025-03-17,2025-07-19
TK000423,PJ0045,Project Management,PM,2025-01-07,2025-11-22
TK000424,PJ0045,Contingency,Contingency,2025-02-28,2025-08-30
TK000425,PJ0045,Contractor Costs,Construction,2024-12-20,2025-12-04
TK000426,PJ0045,Possession Management,Possession,2024-11-06,2025-11-08
TK000427,PJ0045,Freight Haulage,Materials,2025-01-20,2025-05-16
TK000428,PJ0045,Environmental Mitigation,Other,2024-12-22,2025-04-08
TK000429,PJ0045,On Track Plant,Construction,2025-01-22,2025-11-07
TK000430,PJ0046,Project Management,PM,2024-10-17,2025-02-23
TK000431,PJ0046,Contingency,Contingency,2024-11-18,2025-10-23
TK000432,PJ0046,Contractor,Construction,2024-08-01,2025-06-03
TK000433,PJ0046,Sponsor Costs,PM,2024-06-28,2024-09-26
TK000434,PJ0046,PCAT Costs,PM,2025-01-30,2025-09-12
TK000435,PJ0046,Construction,Construction,2024-09-10,2024-11-06
TK000436,PJ0046,Other Costs,Other,2024-06-21,2024-09-03
TK000437,PJ0046,Possession Management,Possession,2024-12-28,2025-03-28
TK000438,PJ0046,Detailed Design,Design,2024-11-09,2026-02-02
TK000439,PJ0047,Project Management,PM,2024-12-06,2025-03-02
TK000440,PJ0047,Contingency,Contingency,2024-11-01,2025-11-11
TK000441,PJ0047,Ballast Materials,Materials,2024-09-10,2025-01-31
TK000442,PJ0047,Design,Design,2024-07-20,2024-11-29
TK000443,PJ0047,Sponsor Costs,PM,2024-11-22,2025-05-20
TK000444,PJ0047,On Track Plant,Construction,2024-08-22,2025-01-28
TK000445,PJ0048,Project Management,PM,2024-12-31,2025-04-01
TK000446,PJ0048,Contingency,Contingency,2024-12-21,2025-07-05
TK000447,PJ0048,Design,Design,2025-02-20,2025-05-01
TK000448,PJ0048,Other Materials,Materials,2024-12-15,2025-04-07
TK000449,PJ0048,Contractor Costs,Construction,2025-02-15,2025-05-30
TK000450,PJ0048,On Track Plant,Construction,2024-12-28,2025-08-02
TK000451,PJ0048,Site Compound,Construction,2024-12-13,2025-06-21
TK000452,PJ0049,Project Management,PM,2024-09-24,2025-05-02
TK000453,PJ0049,Contingency,Contingency,2024-09-10,2025-06-10
TK000454,PJ0049,Sponsor Costs,PM,2024-08-30,2025-07-23
TK000455,PJ0049,NDS,Other,2024-08-18,2025-08-05
TK000456,PJ0049,Other Materials,Materials,2024-10-25,2025-07-22
TK000457,PJ0049,Freight Haulage,Materials,2024-11-28,2025-08-24
TK000458,PJ0049,Recharges In - Site,Other,2024-07-26,2025-07-27
TK000459,PJ0049,Site Compound,Construction,2024-07-18,2024-11-28
TK000460,PJ0050,Project Management,PM,2024-12-09,2025-09-12
TK000461,PJ0050,Contingency,Contingency,2025-02-06,2025-05-08
TK000462,PJ0050,Other Costs,Other,2024-12-15,2025-03-25
TK000463,PJ0050,Systems Engineering,Design,2025-01-02,2025-07-17
TK000464,PJ0050,Training,PM,2025-02-09,2025-05-12
TK000465,PJ0050,Site Compound,Construction,2025-02-24,2025-09-10
TK000466,PJ0050,Other Materials,Materials,2025-02-08,2025-05-20
TK000467,PJ0050,Construction,Construction,2025-02-07,2025-07-17
TK000468,PJ0051,Project Management,PM,2025-02-15,2025-04-30
TK000469,PJ0051,Contingency,Contingency,2025-03-18,2025-08-29
TK000470,PJ0051,Site Compound,Construction,2025-03-21,2025-08-22
TK000471,PJ0051,Testing & Commissioning,Construction,2025-01-06,2025-03-12
TK000472,PJ0051,Rail Materials,Materials,2025-01-08,2025-03-25
TK000473,PJ0051,PCAT Costs,PM,2025-03-10,2025-05-24
TK000474,PJ0051,Ballast Materials,Materials,2025-02-22,2025-08-10
TK000475,PJ0051,Sponsor Costs,PM,2025-03-17,2025-10-01
TK000476,PJ0051,Systems Engineering,Design,2025-01-29,2025-08-23
TK000477,PJ0051,Sleeper Materials,Materials,2025-02-21,2025-07-21
TK000478,PJ0051,Training,PM,2025-01-21,2025-08-28
TK000479,PJ0052,Project Management,PM,2024-10-17,2025-01-24
TK000480,PJ0052,Contingency,Contingency,2025-01-15,2025-08-17
TK000481,PJ0052,Design,Design,2024-08-25,2025-09-15
TK000482,PJ0052,Contractor Costs,Construction,2024-10-17,2025-06-16
TK000483,PJ0052,Sleeper Materials,Materials,2024-12-17,2025-07-14
TK000484,PJ0052,Contractor,Construction,2024-09-16,2025-10-29
TK000485,PJ0052,Sponsor Costs,PM,2024-10-23,2025-05-04
TK000486,PJ0052,On Track Plant,Construction,2024-09-26,2025-06-17
