WOID,FleetID,Type,Start,End,CauseCode
WO000338,FL00103,PM,2025-08-11,2025-08-12 00:31:27.738983,Wear
WO000339,FL00104,CM,2025-08-24,2025-08-25 02:41:14.037222,Upgrade
WO000340,FL00104,CM,2025-07-19,2025-07-19 11:37:04.268180,Scheduled
WO000341,FL00104,CM,2025-06-26,2025-06-26 22:46:17.196182,Upgrade
WO000342,FL00105,PM,2025-06-10,2025-06-10 22:56:00.214307,Wear
WO000343,FL00105,CM,2025-08-21,2025-08-21 22:01:07.923592,Inspection
WO000344,FL00105,CM,2025-07-30,2025-07-30 18:04:02.587631,Upgrade
WO000345,FL00105,CM,2025-06-23,2025-06-23 07:40:35.372980,Inspection
WO000346,FL00105,PM,2025-06-22,2025-06-22 05:09:18.573183,Upgrade
WO000347,FL00106,CM,2025-08-06,2025-08-06 20:58:03.064861,Scheduled
WO000348,FL00107,CM,2025-07-27,2025-07-27 20:13:25.677496,Upgrade
WO000349,FL00108,PM,2025-08-19,2025-08-20 03:33:16.467328,Inspection
WO000350,FL00108,PM,2025-06-04,2025-06-04 09:48:57.950830,Wear
WO000351,FL00108,CM,2025-08-07,2025-08-07 06:38:14.273179,Upgrade
WO000352,FL00110,PM,2025-06-02,2025-06-02 22:53:24.082889,Inspection
WO000353,FL00110,PM,2025-08-18,2025-08-18 12:13:39.201880,Inspection
WO000354,FL00110,CM,2025-07-06,2025-07-06 15:16:16.927807,Inspection
WO000355,FL00110,PM,2025-07-07,2025-07-07 09:09:54.212871,Wear
WO000356,FL00110,PM,2025-06-15,2025-06-15 09:48:10.016585,Wear
WO000357,FL00110,PM,2025-06-28,2025-06-28 21:32:07.319301,Inspection
