IncidentID,Date,Time,LocationID,IncidentType,Severity,Department,Cause,ClosedDate
IN00307,2025-06-18,07:11:46,LC017,Manual Handling,Minor,Maintenance,Wet floor,
IN00308,2025-06-13,07:11:20,LC012,Slip,Minor,Projects,Poor lighting,2025-07-02
IN00309,2025-07-11,23:40:01,LC005,slip,Major,Customer Service,Poor lighting,
IN00310,2025-06-08,10:50:00,LC017,Electrical,Minor,Security,Equipment,2025-08-04
IN00311,2025-07-04,11:40:23,LC017,Electrical,Minor,Maintenance,Weather,
IN00312,2025-06-21,19:05:56,LC015,Collision,Minor,Projects,Equipment,2025-07-16
IN00313,2025-06-19,12:19:53,LC014,TRIP,Major,Customer Service,,2025-08-14
IN00314,2025-08-03,11:47:48,LC005,Trip,Minor,Customer Service,Obstruction,2025-08-05
IN00315,2025-08-08,09:19:03,LC003,Manual Handling,Minor,Customer Service,Weather,2025-09-20
IN00316,2025-08-27,17:45:18,LC017,TRIP,Minor,Security,Human error,
IN00317,2025-07-05,10:17:08,LC017,Electrical,Minor,Projects,Human error,2025-07-25
IN00318,2025-08-15,23:20:26,LC014,TRIP,Minor,Projects,Obstruction,2025-08-24
IN00319,2025-07-23,12:53:12,LC028,slip,Minor,Maintenance,Poor lighting,2025-08-04
IN00320,2025-07-06,13:56:12,LC027,Collision,Minor,Operations,Weather,
IN00321,2025-08-30,10:18:16,LC001,Near Miss,Minor,Customer Service,Equipment,2025-10-04
IN00322,2025-08-16,19:16:05,LC027,Trip,Minor,Security,Human error,2025-10-10
IN00323,2025-06-30,20:22:37,LC027,slip,Minor,Projects,Wet floor,2025-07-05
IN00324,2025-06-20,16:22:49,LC028,Electrical,Major,Maintenance,Poor lighting,2025-06-23
IN00325,2025-06-03,21:28:53,LC001,Trip,Minor,Customer Service,Equipment,2025-06-14
IN00326,2025-07-20,10:02:53,LC014,Electrical,Minor,Customer Service,Poor lighting,2025-08-28
IN00327,2025-06-01,23:24:09,LC008,slip,Minor,Projects,Human error,2025-07-04
IN00328,2025-06-27,22:36:13,LC014,Manual Handling,Major,Security,Equipment,2025-07-05
IN00329,2025-07-31,18:22:41,LC014,Trip,Minor,Operations,Poor lighting,
IN00330,2025-06-13,14:13:21,LC018,Electrical,Minor,Customer Service,Poor lighting,
IN00331,2025-06-11,21:35:53,LC012,Manual Handling,Minor,Maintenance,Weather,2025-07-19
IN00332,2025-08-08,13:05:32,LC026,Near Miss,Major,Operations,Human error,
IN00333,2025-06-12,11:16:13,LC011,Collision,Major,Projects,Weather,2025-07-10
IN00334,2025-08-26,19:16:02,LC011,Electrical,Minor,Customer Service,Human error,
IN00335,2025-08-07,08:33:42,LC012,Near Miss,Minor,Projects,Poor lighting,2025-09-11
IN00336,2025-07-24,10:30:08,LC014,slip,Minor,Operations,Obstruction,2025-07-31
IN00337,2025-06-04,19:37:20,LC002,Collision,Minor,Customer Service,Poor lighting,2025-06-05
IN00338,2025-08-13,16:36:24,LC001,Slip,Minor,Operations,Obstruction,
IN00339,2025-06-09,23:57:02,LC012,slip,Major,Maintenance,Equipment,2025-07-24
IN00340,2025-06-06,15:44:06,LC021,Near Miss,Minor,Maintenance,Weather,2025-06-07
IN00341,2025-06-19,16:55:57,LC007,slip,Minor,Security,Equipment,2025-07-18
IN00342,2025-08-20,05:10:26,LC005,Near Miss,Minor,Security,Obstruction,2025-09-12
IN00343,2025-06-20,20:21:21,LC009,Near Miss,Minor,Operations,Wet floor,2025-06-20
IN00344,2025-07-15,08:11:58,LC002,TRIP,Minor,Security,Human error,2025-09-07
IN00345,2025-06-05,16:19:10,LC003,Near Miss,Minor,Operations,Poor lighting,
IN00346,2025-08-17,19:34:11,LC025,Near Miss,Minor,Customer Service,Weather,2025-09-16
IN00347,2025-08-07,05:28:51,LC018,Collision,Minor,Maintenance,Poor lighting,2025-09-18
IN00348,2025-07-07,19:37:36,LC023,slip,Minor,Customer Service,Human error,2025-07-08
IN00349,2025-08-18,18:46:25,LC010,Electrical,Minor,Customer Service,,2025-10-07
IN00350,2025-07-28,20:53:15,LC012,Slip,Minor,Maintenance,Equipment,2025-09-17
IN00351,2025-08-04,13:46:23,LC005,Trip,Major,Security,Wet floor,2025-09-24
IN00352,2025-08-25,15:30:43,LC016,Collision,Minor,Security,Weather,2025-09-28
IN00353,2025-07-30,17:19:02,LC001,Electrical,Major,Customer Service,Wet floor,
IN00354,2025-08-12,12:48:59,LC022,Trip,Minor,Projects,Wet floor,2025-09-05
IN00355,2025-08-09,21:06:26,LC005,Electrical,Minor,Operations,Human error,2025-10-06
IN00356,2025-07-07,18:49:17,LC014,Electrical,Minor,Projects,Poor lighting,2025-08-17
IN00357,2025-07-28,23:25:37,LC018,Slip,Minor,Maintenance,Poor lighting,2025-08-16
IN00358,2025-08-31,05:10:32,LC026,Collision,Minor,Maintenance,Human error,2025-10-15
IN00359,2025-08-25,10:59:19,LC005,TRIP,Minor,Projects,Obstruction,2025-10-08
IN00360,2025-08-02,21:12:36,LC016,slip,Minor,Security,Wet floor,2025-09-15
IN00361,2025-06-28,09:08:42,LC018,TRIP,Minor,Projects,Weather,2025-08-01
IN00362,2025-06-28,15:50:03,LC009,Electrical,Minor,Operations,Equipment,
IN00363,2025-07-27,07:19:50,LC006,Collision,Major,Security,Wet floor,
IN00364,2025-07-26,09:51:22,LC023,Slip,Minor,Customer Service,Equipment,
IN00365,2025-08-17,19:25:10,LC022,Near Miss,Minor,Customer Service,Obstruction,2025-08-21
IN00366,2025-08-16,19:00:42,LC021,Slip,Minor,Projects,Human error,
IN00367,2025-06-16,09:12:56,LC028,Trip,Fatal,Operations,Weather,2025-06-20
IN00368,2025-07-03,10:19:19,LC001,slip,Minor,Security,Equipment,
IN00369,2025-06-30,07:11:15,LC025,Electrical,Minor,Projects,Human error,
IN00370,2025-07-02,11:27:05,LC024,TRIP,Minor,Security,Poor lighting,2025-07-08
IN00371,2025-07-24,12:09:43,LC002,Near Miss,Minor,Operations,Human error,2025-08-26
IN00372,2025-07-17,22:54:49,LC026,Near Miss,Minor,Security,Equipment,2025-08-23
IN00373,2025-06-23,16:00:30,LC005,Slip,Minor,Projects,Weather,2025-08-03
IN00374,2025-08-13,10:22:06,LC002,TRIP,Minor,Security,Weather,2025-09-09
IN00375,2025-08-05,20:35:43,LC014,Electrical,Minor,Maintenance,,2025-09-30
IN00376,2025-07-07,17:44:13,LC007,Near Miss,Minor,Maintenance,Weather,2025-09-01
IN00377,2025-08-26,20:42:24,LC019,Near Miss,Minor,Security,Equipment,2025-10-21
IN00378,2025-07-18,19:45:15,LC003,TRIP,Minor,Operations,Human error,2025-09-11
IN00379,2025-06-29,08:24:08,LC006,Near Miss,Major,Operations,Obstruction,2025-07-10
IN00380,2025-07-09,15:48:59,LC023,TRIP,Minor,Projects,Obstruction,2025-08-18
IN00381,2025-08-22,09:25:49,LC014,Slip,Major,Customer Service,Weather,2025-10-01
IN00382,2025-08-14,15:57:18,LC022,Near Miss,Minor,Customer Service,Wet floor,2025-09-12
IN00383,2025-07-26,18:38:25,LC006,Electrical,Minor,Maintenance,Wet floor,
IN00384,2025-06-08,22:04:22,LC028,TRIP,Minor,Customer Service,Wet floor,2025-07-30
IN00385,2025-08-26,20:42:47,LC012,Collision,Minor,Operations,Human error,2025-10-23
IN00386,2025-06-02,23:01:14,LC013,TRIP,Minor,Security,Poor lighting,2025-06-06
IN00387,2025-08-23,10:49:15,LC013,TRIP,Minor,Operations,Wet floor,
IN00388,2025-08-29,16:23:21,LC008,Collision,Minor,Projects,Wet floor,2025-10-08
IN00389,2025-06-04,21:52:00,LC025,TRIP,Major,Customer Service,Obstruction,2025-06-16
IN00390,2025-06-24,17:58:04,LC004,Trip,Minor,Maintenance,Obstruction,2025-07-16
IN00391,2025-06-18,12:08:31,LC028,slip,Minor,Customer Service,Wet floor,2025-07-20
IN00392,2025-08-25,11:02:13,LC020,Electrical,Minor,Customer Service,Obstruction,2025-10-18
IN00393,2025-07-07,14:27:05,LC026,Manual Handling,Minor,Security,,2025-07-08
IN00394,2025-07-04,15:24:41,LC027,slip,Minor,Operations,Obstruction,
IN00395,2025-07-30,10:27:09,LC015,TRIP,Minor,Operations,Equipment,2025-09-08
IN00396,2025-08-20,14:19:24,LC016,TRIP,Minor,Security,Equipment,2025-10-17
IN00397,2025-07-22,20:02:16,LC001,slip,Minor,Operations,Equipment,2025-07-23
IN00398,2025-08-21,18:11:10,LC020,slip,Minor,Projects,Equipment,
IN00399,2025-06-20,17:43:33,LC022,slip,Minor,Operations,Human error,2025-07-20
IN00400,2025-07-16,08:29:51,LC017,Electrical,Minor,Customer Service,Human error,2025-07-16
IN00401,2025-06-18,07:22:43,LC006,Collision,Minor,Security,Wet floor,
IN00402,2025-07-09,08:41:55,LC022,TRIP,Minor,Projects,Wet floor,2025-08-24
IN00403,2025-07-26,17:51:51,LC006,Slip,Minor,Maintenance,Poor lighting,2025-08-24
IN00404,2025-07-11,05:10:20,LC004,Near Miss,Minor,Security,Human error,
IN00405,2025-06-07,09:36:32,LC026,Electrical,Minor,Projects,Equipment,2025-07-06
IN00406,2025-08-17,17:43:29,LC028,Trip,Minor,Operations,Weather,2025-09-04
IN00407,2025-07-09,05:31:41,LC015,Electrical,Minor,Security,Equipment,2025-08-01
IN00408,2025-06-16,17:27:49,LC028,Manual Handling,Minor,Operations,Wet floor,2025-07-02
IN00409,2025-08-21,06:19:27,LC012,Collision,Minor,Customer Service,Wet floor,2025-09-23
IN00410,2025-08-18,13:47:40,LC001,Trip,Minor,Operations,Human error,
IN00411,2025-08-12,08:38:51,LC013,Manual Handling,Minor,Customer Service,Wet floor,2025-09-22
IN00412,2025-08-14,19:32:23,LC008,Manual Handling,Minor,Customer Service,Equipment,2025-09-06
IN00413,2025-06-17,20:45:21,LC007,Manual Handling,Minor,Security,Wet floor,
IN00414,2025-08-03,22:23:07,LC025,Slip,Minor,Projects,Equipment,
IN00415,2025-06-08,10:27:34,LC020,TRIP,Minor,Security,Weather,2025-07-19
IN00416,2025-06-19,17:55:43,LC023,Collision,Minor,Customer Service,Wet floor,2025-06-23
IN00417,2025-08-08,07:09:00,LC020,Slip,Minor,Projects,Human error,2025-10-05
IN00418,2025-07-08,15:59:45,LC015,TRIP,Major,Projects,,2025-08-13
IN00419,2025-08-23,23:16:12,LC001,Electrical,Minor,Maintenance,Weather,2025-10-19
IN00420,2025-07-15,21:52:39,LC008,Manual Handling,Minor,Maintenance,Weather,2025-08-27
